
[19:02:40.34] Started
[19:03:15.20] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
[19:03:15.55] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
[19:03:16.89] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:16.92] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:16.94] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:03:17.72] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:17.75] OK:(15)0(01)(07)(00)(00)(11)(01)(01)(FF)S(1F)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:17.76] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:03:18.78] OK:(15)0(01)(07)(00)(00)(11)(01)(01)(FF)S(1F)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:18.81] OK:(15)0(01)(08)(00)(00)(11)(01)(01)(FF)(15)?@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:20.0] OK:(15)0(01)(08)(00)(00)(11)(01)(01)(FF)(15)?@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:20.1] OK:(15)0(01)(07)(00)(00)(11)(01)(01)(FF)S(1F)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:21.22] OK:(15)0(01)(07)(00)(00)(11)(01)(01)(FF)S(1F)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:21.25] OK:(15)0(01)(08)(00)(00)(11)(01)(01)(FF)(15)?@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:22.75] OK:(15)0(01)(08)(00)(00)(11)(01)(01)(FF)(15)?@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:22.76] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
[19:03:23.20] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
